,wavelength(um),voltage response ,,wavelength£¨um£©,IR absorption spectrum
,,,,3.7277,0.10681
,,,,3.7304,0.10644
,,,,3.733,0.10612
,,,,3.7357,0.10576
,,,,3.7384,0.10538
,,,,3.7411,0.10492
,,,,3.7438,0.10428
,,,,3.7465,0.10364
,,,,3.7492,0.10318
,,,,3.752,0.10279
,,,,3.7547,0.10232
,,,,3.7574,0.10168
,,,,3.7601,0.10093
,,,,3.7628,0.10036
,,,,3.7656,0.10011
,,,,3.7683,0.09985
,,,,3.7711,0.09931
,,,,3.7738,0.09867
,,,,3.7766,0.09816
,,,,3.7793,0.09766
,,,,3.7821,0.09709
,,,,3.7848,0.09661
,,,,3.7876,0.09626
,,,,3.7904,0.09583
,,,,3.7931,0.09527
,,,,3.7959,0.0947
,,,,3.7987,0.09424
,,,,3.8015,0.0939
,,,,3.8043,0.09354
,,,,3.8071,0.0932
,,,,3.8098,0.09292
,,,,3.8126,0.09252
,,,,3.8155,0.09199
,,,,3.8183,0.09154
,,,,3.8211,0.09125
,,,,3.8239,0.091
,,,,3.8267,0.09065
,,,,3.8295,0.09026
,,,,3.8324,0.08987
,,,,3.8352,0.08951
,,,,3.838,0.08915
,,,,3.8409,0.08871
,,,,3.8437,0.08822
,,,,3.8466,0.08783
,,,,3.8494,0.08754
,,,,3.8523,0.0872
,,,,3.8552,0.08675
,,,,3.858,0.08617
,,,,3.8609,0.08557
,,,,3.8638,0.08512
,,,,3.8667,0.08481
,,,,3.8696,0.08454
,,,,3.8724,0.08424
,,,,3.8753,0.08389
,,,,3.8782,0.08347
,,,,3.8811,0.08304
,,,,3.884,0.08267
,,,,3.887,0.0823
,,,,3.8899,0.08193
,,,,3.8928,0.08156
,,,,3.8957,0.08122
,,,,3.8986,0.08093
,,,,3.9016,0.08068
,,,,3.9045,0.08036
,,,,3.9075,0.07992
,,,,3.9104,0.07944
,,,,3.9134,0.07898
,,,,3.9163,0.0786
,,,,3.9193,0.0783
,,,,3.9222,0.0781
,,,,3.9252,0.07792
,,,,3.9282,0.0776
,,,,3.9312,0.07728
,,,,3.9341,0.07705
,,,,3.9371,0.07682
,,,,3.9401,0.07655
,,,,3.9431,0.07616
,,,,3.9461,0.07573
,,,,3.9491,0.0755
,,,,3.9521,0.07542
,,,,3.9552,0.07522
,,,,3.9582,0.07475
,,,,3.9612,0.07422
,,,,3.9642,0.07377
,,,,3.9673,0.07338
,,,,3.9703,0.07312
,,,,3.9733,0.07291
,,,,3.9764,0.07259
,,,,3.9794,0.07231
,,,,3.9825,0.07215
,,,,3.9856,0.07197
,,,,3.9886,0.07167
,,,,3.9917,0.07134
,,,,3.9948,0.07116
,,,,3.9978,0.07109
,,,,4.0009,0.07093
,,,,4.004,0.07065
,,,,4.0071,0.07031
,,,,4.0102,0.06999
,,,,4.0133,0.06973
,,,,4.0164,0.06944
,,,,4.0195,0.06913
,,,,4.0227,0.06886
,,,,4.0258,0.06865
,,,,4.0289,0.06847
,,,,4.032,0.06824
,,,,4.0352,0.06798
,,,,4.0383,0.06767
,,,,4.0415,0.06732
,,,,4.0446,0.06703
,,,,4.0478,0.06685
,,,,4.0509,0.06667
,,,,4.0541,0.06644
,,,,4.0573,0.06619
,,,,4.0605,0.06592
,,,,4.0636,0.06571
,,,,4.0668,0.06556
,,,,4.07,0.06539
,,,,4.0732,0.06527
,,,,4.0764,0.06521
,,,,4.0796,0.06513
,,,,4.0828,0.06503
,,,,4.0861,0.06488
,,,,4.0893,0.06463
,,,,4.0925,0.06438
,,,,4.0957,0.06417
,,,,4.099,0.06403
,,,,4.1022,0.0639
,,,,4.1055,0.06379
,,,,4.1087,0.06365
,,,,4.112,0.06348
,,,,4.1152,0.06334
,,,,4.1185,0.06331
,,,,4.1218,0.06329
,,,,4.1251,0.06317
,,,,4.1283,0.06306
,,,,4.1316,0.06303
,,,,4.1349,0.06293
,,,,4.1382,0.06272
,,,,4.1415,0.06257
,,,,4.1448,0.06252
,,,,4.1482,0.06247
,,,,4.1515,0.06243
,,,,4.1548,0.06237
,,,,4.1581,0.06224
,,,,4.1615,0.06205
,,,,4.1648,0.06184
,,,,4.1682,0.06168
,,,,4.1715,0.06149
,,,,4.1749,0.06131
,,,,4.1782,0.0612
,,,,4.1816,0.06117
,,,,4.185,0.06122
,,,,4.1884,0.06144
,,,,4.1918,0.06157
,,,,4.1951,0.06171
,,,,4.1985,0.06184
,,,,4.2019,0.06198
,,,,4.2054,0.06211
,,,,4.2088,0.06225
,,,,4.2122,0.06238
,,,,4.2156,0.06252
,,,,4.219,0.06265
,,,,4.2225,0.06279
,,,,4.2259,0.06293
,,,,4.2294,0.06306
,,,,4.2328,0.0632
,,,,4.2363,0.06333
,,,,4.2397,0.06347
,,,,4.2432,0.0636
,,,,4.2467,0.06374
,,,,4.2502,0.06387
,,,,4.2537,0.06401
,,,,4.2571,0.06414
,,,,4.2606,0.06428
,,,,4.2641,0.06441
,,,,4.2677,0.06455
,,,,4.2712,0.06469
,,,,4.2747,0.06482
,,,,4.2782,0.06496
,,,,4.2818,0.06509
,,,,4.2853,0.06594
,,,,4.2888,0.06727
,,,,4.2924,0.06898
,,,,4.2959,0.07066
,,,,4.2995,0.07179
,,,,4.3031,0.07235
,,,,4.3066,0.07299
,,,,4.3102,0.07349
,,,,4.3138,0.07325
,,,,4.3174,0.07265
,,,,4.321,0.07257
,,,,4.3246,0.07305
,,,,4.3282,0.07326
,,,,4.3318,0.07282
,,,,4.3355,0.07214
,,,,4.3391,0.07171
,,,,4.3427,0.07172
,,,,4.3464,0.07188
,,,,4.35,0.07188
,,,,4.3537,0.07174
,,,,4.3573,0.07156
,,,,4.361,0.07142
,,,,4.3646,0.07139
,,,,4.3683,0.07146
,,,,4.372,0.07149
,,,,4.3757,0.07148
,,,,4.3794,0.07158
,,,,4.3831,0.07187
,,,,4.3868,0.07228
,,,,4.3905,0.07266
,,,,4.3942,0.07289
,,,,4.398,0.073
,,,,4.4017,0.07314
,,,,4.4054,0.07342
,,,,4.4092,0.07384
,,,,4.4129,0.07425
,,,,4.4167,0.07458
,,,,4.4205,0.07482
,,,,4.4242,0.07504
,,,,4.428,0.07532
,,,,4.4318,0.07569
,,,,4.4356,0.07609
,,,,4.4394,0.07642
,,,,4.4432,0.07704
,,,,4.447,0.07833
,,,,4.4508,0.07844
,,,,4.4546,0.07858
,,,,4.4585,0.07874
,,,,4.4623,0.07888
,,,,4.4662,0.07903
,,,,4.47,0.0792
,,,,4.4739,0.07941
,,,,4.4777,0.07975
,,,,4.4816,0.08015
,,,,4.4855,0.08058
,,,,4.4894,0.08107
,,,,4.4932,0.0815
,,,,4.4971,0.08176
,,,,4.501,0.08206
,,,,4.505,0.08257
,,,,4.5089,0.08315
,,,,4.5128,0.08365
,,,,4.5167,0.08402
,,,,4.5207,0.08443
,,,,4.5246,0.08493
,,,,4.5286,0.08547
,,,,4.5325,0.08602
,,,,4.5365,0.0865
,,,,4.5405,0.08683
,,,,4.5444,0.08718
,,,,4.5484,0.08766
,,,,4.5524,0.08815
,,,,4.5564,0.08864
,,,,4.5604,0.08922
,,,,4.5644,0.0898
,,,,4.5685,0.09034
,,,,4.5725,0.09096
,,,,4.5765,0.0916
,,,,4.5806,0.09211
,,,,4.5846,0.09255
,,,,4.5887,0.09295
,,,,4.5927,0.09344
,,,,4.5968,0.09404
