,x(mm),temperature£¨K£©,Area integral temperature(K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.35344,296.57123,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.36563,296.5341,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.36788,296.52724,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.37986,296.49093,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.38201,296.48442,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.39409,296.44811,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.39615,296.44195,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.40833,296.40564,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.41022,296.4,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.42394,296.35957,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.42554,296.35489,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.43987,296.31321,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.44085,296.31035,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.45579,296.26747,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.45607,296.26666,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.45651,296.26543,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.46897,296.23015,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.47563,296.21146,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.48193,296.19395,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.49476,296.15858,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.49489,296.15824,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.49499,296.15796,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5058,296.1286,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.51115,296.11418,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.51671,296.09931,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.52731,296.0712,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.52764,296.07033,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.52802,296.06932,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.53998,296.03807,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.55157,296.00821,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.55233,296.00627,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.55312,296.00427,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.56468,295.97496,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.57626,295.94604,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.57692,295.94442,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.57754,295.94288,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.58916,295.91433,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6014,295.88471,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.61387,295.85502,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.62634,295.8258,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.63881,295.79706,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.65128,295.76881,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.66375,295.74103,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.67622,295.71372,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.68869,295.6869,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.70116,295.66055,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.71364,295.63469,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.72611,295.60931,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.73858,295.58442,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.75105,295.56002,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.76352,295.53613,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.77599,295.51274,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.78846,295.48985,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.80093,295.46748,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8134,295.44565,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.82587,295.42436,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.83834,295.4036,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.85081,295.38341,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.86329,295.36377,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.87576,295.3447,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.88823,295.32623,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9007,295.30836,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.91317,295.2911,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.92564,295.27445,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.93811,295.25843,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.95058,295.24306,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.96305,295.22835,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.97552,295.2143,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.98799,295.20094,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.00047,295.18827,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.01294,295.17629,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.02541,295.16502,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.03788,295.15449,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.05035,295.14469,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.06282,295.13564,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.07529,295.12734,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.08776,295.11979,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.10023,295.11302,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1127,295.10703,295.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
