eight gas infrared absorption band,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2,measured FTIR,,H2S,,CH4,,CO2,,CO,,NO,,CH2O,,NO2,,SO2
Figure 2c-up,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption,wavelength(um),absorption
,8.88104,0,8.88104,0,8.88104,0,8.88104,0,8.88104,0,8.87662,0,8.88104,0,8.88104,0,,2.13999,0.14041,2.55807,0.10953,3.08276,0.07979,3.61338,0.11847,4.1482,0.09715,4.14816,0.01734,4.1482,0.16016,4.1482,-2.00E-04
,8.87854,0,8.87854,0,8.87854,0,8.87854,0,8.87854,0,8.87399,0,8.87854,0,8.87854,0,,2.14088,0.1403,2.55933,0.1103,3.08459,0.0783,3.6159,0.11854,4.1515,0.09765,4.15148,0.01769,4.1515,0.15907,4.1515,-3.00E-04
,8.87604,0,8.87604,0,8.87604,0,8.87604,0,8.87604,0,8.87137,0,8.87604,0,8.87604,0,,2.14176,0.14001,2.56059,0.11121,3.08643,0.07783,3.61843,0.11863,4.1548,0.09816,4.15481,0.01802,4.1548,0.15795,4.1548,-4.00E-04
,8.87355,0,8.87355,0,8.87355,0,8.87355,0,8.87355,0,8.86874,0,8.87355,0,8.87355,0,,2.14265,0.13971,2.56186,0.11215,3.08827,0.07826,3.62095,0.11872,4.1581,0.09866,4.15814,0.01835,4.1581,0.15682,4.1581,-6.00E-04
,8.87106,0,8.87106,0,8.87106,0,8.87106,0,8.87106,0,8.86612,0,8.87106,0,8.87106,0,,2.14353,0.1395,2.56313,0.11294,3.09011,0.07841,3.62348,0.1188,4.1615,0.09915,4.16148,0.01865,4.1615,0.15566,4.1615,-7.00E-04
,8.86857,0,8.86857,0,8.86857,0,8.86857,0,8.86857,0,8.8635,0,8.86857,0,8.86857,0,,2.14442,0.13939,2.56439,0.11344,3.09195,0.07834,3.62602,0.11889,4.1648,0.0996,4.16482,0.01896,4.1648,0.15446,4.1648,-9.00E-04
,8.86608,0,8.86608,0,8.86608,0,8.86608,0,8.86608,0,8.86089,0,8.86608,0,8.86608,0,,2.14531,0.13936,2.56566,0.11362,3.0938,0.07837,3.62855,0.11902,4.1682,0.10001,4.16817,0.01936,4.1682,0.15322,4.1682,-1.00E-03
,8.86359,0,8.86359,0,8.86359,0,8.86359,0,8.86359,0,8.85827,0,8.86359,0,8.86359,0,,2.14619,0.13942,2.56693,0.11358,3.09564,0.07824,3.6311,0.11917,4.1715,0.10042,4.17152,0.01982,4.1715,0.15193,4.1715,-0.0012
,8.8611,0,8.8611,0,8.8611,0,8.8611,0,8.8611,0,8.85565,0,8.8611,0,8.8611,0,,2.14708,0.13962,2.5682,0.11342,3.09749,0.07801,3.63364,0.11931,4.1749,0.10087,4.17488,0.0203,4.1749,0.15065,4.1749,-0.0013
,8.85862,0,8.85862,0,8.85862,0,8.85862,0,8.85862,0,8.85304,0,8.85862,0,8.85862,0,,2.14797,0.13989,2.56948,0.11331,3.09934,0.07761,3.63619,0.1194,4.1782,0.10145,4.17825,0.02079,4.1782,0.14945,4.1782,-0.0013
,8.85613,0,8.85613,0,8.85613,0,8.85613,0,8.85613,0,8.85043,0,8.85613,0,8.85613,0,,2.14886,0.14008,2.57075,0.11338,3.1012,0.07704,3.63874,0.11947,4.1816,0.10228,4.18162,0.02131,4.1816,0.14843,4.1816,-0.0011
,8.85365,0,8.85365,0,8.85365,0,8.85365,0,8.85365,0,8.84782,0,8.85365,0,8.85365,0,,2.14975,0.14015,2.57203,0.11367,3.10305,0.07759,3.64129,0.11959,4.185,0.10349,4.18499,0.02184,4.185,0.1477,4.185,-9.00E-04
,8.85117,0,8.85117,0,8.85117,0,8.85117,0,8.85117,0,8.84521,0,8.85117,0,8.85117,0,,2.15064,0.1401,2.5733,0.11415,3.10491,0.07877,3.64385,0.11975,4.1884,0.10523,4.18837,0.02236,4.1884,0.14735,4.1884,-5.00E-04
